threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform,1e-05,50,25.0,0,34,0.795,13.0,True,0.055999999999999994
uniform_min_1_over_k,1e-05,50,25.0,0,34,0.585,16.0,True,0.05100000000000002
uniform,1e-05,50,25.0,0,35,0.437,,False,0.065
uniform_min_1_over_k,1e-05,50,25.0,0,35,0.65,17.0,True,0.039999999999999994
uniform,1e-05,50,25.0,0,36,0.561,17.0,True,0.05500000000000001
uniform_min_1_over_k,1e-05,50,25.0,0,36,0.701,13.0,True,0.051000000000000004
uniform,1e-05,50,25.0,0,37,0.657,18.0,True,0.04400000000000001
uniform_min_1_over_k,1e-05,50,25.0,0,37,0.308,,False,0.031000000000000007
uniform,1e-05,50,25.0,0,38,0.574,19.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,0,38,0.585,16.0,True,0.05100000000000002
uniform,1e-05,50,25.0,0,39,0.495,,False,0.049
uniform_min_1_over_k,1e-05,50,25.0,0,39,0.797,13.0,True,0.046999999999999986
uniform,1e-05,50,25.0,0,40,0.674,17.0,True,0.04600000000000001
uniform_min_1_over_k,1e-05,50,25.0,0,40,0.582,16.0,True,0.048000000000000015
uniform,1e-05,50,25.0,0,41,0.667,12.0,True,0.06
uniform_min_1_over_k,1e-05,50,25.0,0,41,0.562,14.0,True,0.055999999999999994
uniform,1e-05,50,25.0,0,42,0.22,,False,0.055
uniform_min_1_over_k,1e-05,50,25.0,0,42,0.868,9.0,True,0.067
uniform,1e-05,50,25.0,0,43,0.22,,False,0.037
uniform_min_1_over_k,1e-05,50,25.0,0,43,0.603,18.0,True,0.04999999999999999
uniform,1e-05,50,25.0,0,44,0.506,23.0,True,0.052000000000000005
uniform_min_1_over_k,1e-05,50,25.0,0,44,0.852,13.0,True,0.05500000000000001
uniform,1e-05,50,25.0,0,45,0.334,,False,0.042
uniform_min_1_over_k,1e-05,50,25.0,0,45,0.607,17.0,True,0.03999999999999998
uniform,1e-05,50,25.0,0,46,0.941,12.0,True,0.05899999999999994
uniform_min_1_over_k,1e-05,50,25.0,0,46,0.442,,False,0.033
uniform,1e-05,50,25.0,0,47,0.786,13.0,True,0.051000000000000004
uniform_min_1_over_k,1e-05,50,25.0,0,47,0.519,57.0,True,0.041999999999999996
uniform,1e-05,50,25.0,0,48,0.66,13.0,True,0.05299999999999999
