threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,39,0.327,,False,0.026999999999999996
uniform,0.0031622776601683794,50,25.0,30,40,0.567,20.0,True,0.05
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,40,0.78,10.0,True,0.057999999999999996
uniform,0.0031622776601683794,50,25.0,30,41,0.714,16.0,True,0.03799999999999998
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,41,0.69,22.0,True,0.034
uniform,0.0031622776601683794,50,25.0,30,42,0.243,,False,0.040999999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,42,0.655,15.0,True,0.05199999999999999
uniform,0.0031622776601683794,50,25.0,30,43,0.383,,False,0.045000000000000005
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,43,0.748,13.0,True,0.04700000000000001
uniform,0.0031622776601683794,50,25.0,30,44,0.642,21.0,True,0.03899999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,44,0.329,,False,0.04000000000000001
uniform,0.0031622776601683794,50,25.0,30,45,0.626,13.0,True,0.047999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,45,0.522,18.0,True,0.042
uniform,0.0031622776601683794,50,25.0,30,46,0.435,,False,0.051000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,46,0.665,12.0,True,0.056999999999999995
uniform,0.0031622776601683794,50,25.0,30,47,0.702,10.0,True,0.06400000000000003
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,47,0.83,12.0,True,0.052000000000000046
uniform,0.0031622776601683794,50,25.0,30,48,0.644,16.0,True,0.05
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,48,0.514,24.0,True,0.038000000000000006
uniform,0.0031622776601683794,50,25.0,30,49,0.373,,False,0.03300000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,30,49,0.37,,False,0.041
uniform,0.0031622776601683794,50,25.0,31,0,0.272,,False,0.04
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,0,0.29,,False,0.030999999999999993
uniform,0.0031622776601683794,50,25.0,31,1,0.614,15.0,True,0.045
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,1,0.429,,False,0.04000000000000001
uniform,0.0031622776601683794,50,25.0,31,2,0.437,,False,0.03900000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,2,0.733,12.0,True,0.05300000000000002
uniform,0.0031622776601683794,50,25.0,31,3,0.576,12.0,True,0.054000000000000006
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,3,0.786,17.0,True,0.04199999999999998
uniform,0.0031622776601683794,50,25.0,31,4,0.753,15.0,True,0.046
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,4,0.696,14.0,True,0.05000000000000002
uniform,0.0031622776601683794,50,25.0,31,5,0.846,8.0,True,0.067
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,5,0.218,,False,0.032
uniform,0.0031622776601683794,50,25.0,31,6,0.397,,False,0.057999999999999996
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,6,0.659,11.0,True,0.05099999999999999
uniform,0.0031622776601683794,50,25.0,31,7,0.543,13.0,True,0.067
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,7,0.566,11.0,True,0.06199999999999999
uniform,0.0031622776601683794,50,25.0,31,8,0.722,8.0,True,0.07400000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,8,0.55,18.0,True,0.062
uniform,0.0031622776601683794,50,25.0,31,9,0.652,23.0,True,0.05
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,9,0.851,9.0,True,0.062
uniform,0.0031622776601683794,50,25.0,31,10,0.611,15.0,True,0.05399999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,10,0.81,15.0,True,0.04999999999999999
uniform,0.0031622776601683794,50,25.0,31,11,0.289,,False,0.04900000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,11,0.54,27.0,True,0.04400000000000001
uniform,0.0031622776601683794,50,25.0,31,12,0.714,12.0,True,0.049
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,12,0.552,25.0,True,0.041
uniform,0.0031622776601683794,50,25.0,31,13,0.529,21.0,True,0.041999999999999996
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,13,0.209,,False,0.033
uniform,0.0031622776601683794,50,25.0,31,14,0.84,9.0,True,0.065
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,14,0.381,,False,0.05099999999999999
uniform,0.0031622776601683794,50,25.0,31,15,0.6,17.0,True,0.055
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,15,0.533,17.0,True,0.053
uniform,0.0031622776601683794,50,25.0,31,16,0.493,,False,0.044
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,16,0.774,13.0,True,0.043999999999999984
uniform,0.0031622776601683794,50,25.0,31,17,0.693,14.0,True,0.057999999999999996
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,17,0.89,19.0,True,0.041999999999999996
uniform,0.0031622776601683794,50,25.0,31,18,0.617,11.0,True,0.068
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,18,0.78,9.0,True,0.062
uniform,0.0031622776601683794,50,25.0,31,19,0.457,,False,0.04800000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,19,0.405,,False,0.04300000000000001
uniform,0.0031622776601683794,50,25.0,31,20,0.398,,False,0.04
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,20,0.456,,False,0.04700000000000001
uniform,0.0031622776601683794,50,25.0,31,21,0.385,,False,0.066
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,21,0.733,10.0,True,0.05500000000000001
uniform,0.0031622776601683794,50,25.0,31,22,0.762,17.0,True,0.04900000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,22,0.607,16.0,True,0.04800000000000001
uniform,0.0031622776601683794,50,25.0,31,23,0.933,10.0,True,0.066
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,23,0.635,22.0,True,0.03200000000000001
uniform,0.0031622776601683794,50,25.0,31,24,0.391,,False,0.043000000000000003
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,24,0.415,,False,0.041999999999999996
uniform,0.0031622776601683794,50,25.0,31,25,0.788,31.0,True,0.041
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,25,0.81,14.0,True,0.048000000000000015
uniform,0.0031622776601683794,50,25.0,31,26,0.629,12.0,True,0.05199999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,26,0.765,11.0,True,0.061000000000000026
uniform,0.0031622776601683794,50,25.0,31,27,0.834,10.0,True,0.06
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,27,0.692,15.0,True,0.046999999999999986
uniform,0.0031622776601683794,50,25.0,31,28,0.479,,False,0.04000000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,28,0.585,18.0,True,0.045999999999999985
uniform,0.0031622776601683794,50,25.0,31,29,0.77,14.0,True,0.043999999999999984
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,29,0.646,29.0,True,0.04
uniform,0.0031622776601683794,50,25.0,31,30,0.798,10.0,True,0.06300000000000003
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,30,0.837,13.0,True,0.05199999999999999
uniform,0.0031622776601683794,50,25.0,31,31,0.329,,False,0.051000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,31,0.424,,False,0.05800000000000001
uniform,0.0031622776601683794,50,25.0,31,32,0.615,20.0,True,0.04299999999999998
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,32,0.369,,False,0.04200000000000001
uniform,0.0031622776601683794,50,25.0,31,33,0.633,12.0,True,0.055999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,33,0.366,,False,0.037
uniform,0.0031622776601683794,50,25.0,31,34,0.5,,False,0.04999999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,34,0.725,10.0,True,0.05099999999999999
uniform,0.0031622776601683794,50,25.0,31,35,0.684,13.0,True,0.059
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,35,0.527,17.0,True,0.05700000000000001
uniform,0.0031622776601683794,50,25.0,31,36,0.462,,False,0.04899999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,36,0.14,,False,0.02500000000000001
uniform,0.0031622776601683794,50,25.0,31,37,0.589,23.0,True,0.038000000000000006
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,37,0.279,,False,0.035
uniform,0.0031622776601683794,50,25.0,31,38,0.705,25.0,True,0.040999999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,38,0.363,,False,0.037000000000000005
uniform,0.0031622776601683794,50,25.0,31,39,0.848,13.0,True,0.04400000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,39,0.622,28.0,True,0.04200000000000001
uniform,0.0031622776601683794,50,25.0,31,40,0.46,,False,0.05299999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,40,0.839,17.0,True,0.04100000000000001
uniform,0.0031622776601683794,50,25.0,31,41,0.79,18.0,True,0.051000000000000045
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,41,0.212,,False,0.027999999999999997
uniform,0.0031622776601683794,50,25.0,31,42,0.677,16.0,True,0.04199999999999998
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,42,0.389,,False,0.03899999999999999
uniform,0.0031622776601683794,50,25.0,31,43,0.314,,False,0.031999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,43,0.491,,False,0.03900000000000001
uniform,0.0031622776601683794,50,25.0,31,44,0.751,13.0,True,0.055999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,44,0.719,19.0,True,0.042
uniform,0.0031622776601683794,50,25.0,31,45,0.601,21.0,True,0.04599999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,45,0.863,8.0,True,0.06200000000000003
uniform,0.0031622776601683794,50,25.0,31,46,0.515,18.0,True,0.03899999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,46,0.431,,False,0.04000000000000001
uniform,0.0031622776601683794,50,25.0,31,47,0.758,12.0,True,0.05099999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,47,0.541,18.0,True,0.04600000000000001
uniform,0.0031622776601683794,50,25.0,31,48,0.339,,False,0.041999999999999996
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,48,0.339,,False,0.040999999999999995
uniform,0.0031622776601683794,50,25.0,31,49,0.38,,False,0.054
uniform_min_1_over_k,0.0031622776601683794,50,25.0,31,49,0.877,15.0,True,0.05700000000000001
uniform,0.0031622776601683794,50,25.0,32,0,0.772,23.0,True,0.046000000000000006
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,0,0.777,13.0,True,0.04999999999999999
uniform,0.0031622776601683794,50,25.0,32,1,0.436,,False,0.057999999999999996
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,1,0.537,12.0,True,0.055999999999999994
uniform,0.0031622776601683794,50,25.0,32,2,0.799,15.0,True,0.046999999999999986
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,2,0.406,,False,0.034
uniform,0.0031622776601683794,50,25.0,32,3,0.66,13.0,True,0.05499999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,3,0.806,13.0,True,0.059
uniform,0.0031622776601683794,50,25.0,32,4,0.809,11.0,True,0.05899999999999998
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,4,0.613,13.0,True,0.05700000000000001
uniform,0.0031622776601683794,50,25.0,32,5,0.489,,False,0.04999999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,5,0.714,18.0,True,0.03900000000000001
uniform,0.0031622776601683794,50,25.0,32,6,0.899,8.0,True,0.06599999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,6,0.712,12.0,True,0.05499999999999999
uniform,0.0031622776601683794,50,25.0,32,7,0.401,,False,0.04999999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,7,0.577,25.0,True,0.038
uniform,0.0031622776601683794,50,25.0,32,8,0.492,,False,0.038000000000000034
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,8,0.393,,False,0.02100000000000002
uniform,0.0031622776601683794,50,25.0,32,9,0.324,,False,0.02800000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,9,0.646,12.0,True,0.056999999999999995
uniform,0.0031622776601683794,50,25.0,32,10,0.443,,False,0.057
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,10,0.806,14.0,True,0.05800000000000001
uniform,0.0031622776601683794,50,25.0,32,11,0.484,,False,0.048
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,11,0.557,23.0,True,0.040999999999999995
uniform,0.0031622776601683794,50,25.0,32,12,0.539,17.0,True,0.05299999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,12,0.399,,False,0.03499999999999999
uniform,0.0031622776601683794,50,25.0,32,13,0.593,12.0,True,0.05700000000000002
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,13,0.537,19.0,True,0.05299999999999999
uniform,0.0031622776601683794,50,25.0,32,14,0.783,14.0,True,0.045999999999999985
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,14,0.44,,False,0.033999999999999975
uniform,0.0031622776601683794,50,25.0,32,15,0.558,20.0,True,0.04799999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,15,0.623,16.0,True,0.05199999999999999
uniform,0.0031622776601683794,50,25.0,32,16,0.733,15.0,True,0.048
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,16,0.384,,False,0.038000000000000006
uniform,0.0031622776601683794,50,25.0,32,17,0.59,24.0,True,0.047000000000000014
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,17,0.186,,False,0.02500000000000001
uniform,0.0031622776601683794,50,25.0,32,18,0.704,12.0,True,0.04799999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,18,0.595,22.0,True,0.047
uniform,0.0031622776601683794,50,25.0,32,19,0.624,9.0,True,0.07700000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,19,0.81,9.0,True,0.069
uniform,0.0031622776601683794,50,25.0,32,20,0.792,17.0,True,0.05
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,20,0.183,,False,0.031
uniform,0.0031622776601683794,50,25.0,32,21,0.682,20.0,True,0.036000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,21,0.733,25.0,True,0.033
uniform,0.0031622776601683794,50,25.0,32,22,0.652,16.0,True,0.04000000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,22,0.382,,False,0.031
uniform,0.0031622776601683794,50,25.0,32,23,0.468,,False,0.044999999999999984
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,23,0.432,,False,0.03899999999999999
uniform,0.0031622776601683794,50,25.0,32,24,0.36,,False,0.03699999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,24,0.631,18.0,True,0.033999999999999975
uniform,0.0031622776601683794,50,25.0,32,25,0.283,,False,0.046
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,25,0.27,,False,0.027999999999999997
uniform,0.0031622776601683794,50,25.0,32,26,0.495,,False,0.035
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,26,0.223,,False,0.023999999999999994
uniform,0.0031622776601683794,50,25.0,32,27,0.289,,False,0.05299999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,27,0.903,12.0,True,0.05299999999999999
uniform,0.0031622776601683794,50,25.0,32,28,0.526,13.0,True,0.05099999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,28,0.58,21.0,True,0.04799999999999999
uniform,0.0031622776601683794,50,25.0,32,29,0.751,11.0,True,0.055999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,29,0.749,9.0,True,0.063
uniform,0.0031622776601683794,50,25.0,32,30,0.592,12.0,True,0.064
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,30,0.486,,False,0.05900000000000001
uniform,0.0031622776601683794,50,25.0,32,31,0.659,16.0,True,0.048
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,31,0.542,26.0,True,0.041999999999999996
uniform,0.0031622776601683794,50,25.0,32,32,0.282,,False,0.030999999999999993
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,32,0.875,13.0,True,0.04899999999999999
uniform,0.0031622776601683794,50,25.0,32,33,0.7,18.0,True,0.039
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,33,0.788,18.0,True,0.04199999999999998
uniform,0.0031622776601683794,50,25.0,32,34,0.809,12.0,True,0.04799999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,34,0.651,26.0,True,0.029000000000000005
uniform,0.0031622776601683794,50,25.0,32,35,0.261,,False,0.049
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,35,0.607,29.0,True,0.046
uniform,0.0031622776601683794,50,25.0,32,36,0.713,11.0,True,0.056999999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,36,0.625,15.0,True,0.045
uniform,0.0031622776601683794,50,25.0,32,37,0.684,18.0,True,0.045
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,37,0.677,20.0,True,0.03500000000000003
uniform,0.0031622776601683794,50,25.0,32,38,0.74,13.0,True,0.06
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,38,0.848,12.0,True,0.05000000000000002
uniform,0.0031622776601683794,50,25.0,32,39,0.744,15.0,True,0.044000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,39,0.801,8.0,True,0.06699999999999999
uniform,0.0031622776601683794,50,25.0,32,40,0.861,14.0,True,0.043999999999999984
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,40,0.314,,False,0.048
uniform,0.0031622776601683794,50,25.0,32,41,0.241,,False,0.032999999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,41,0.468,,False,0.06000000000000001
uniform,0.0031622776601683794,50,25.0,32,42,0.783,11.0,True,0.066
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,42,0.375,,False,0.042
uniform,0.0031622776601683794,50,25.0,32,43,0.746,10.0,True,0.056999999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,43,0.434,,False,0.03699999999999999
uniform,0.0031622776601683794,50,25.0,32,44,0.645,17.0,True,0.051
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,44,0.738,17.0,True,0.047000000000000014
uniform,0.0031622776601683794,50,25.0,32,45,0.599,27.0,True,0.047999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,45,0.475,,False,0.046000000000000006
uniform,0.0031622776601683794,50,25.0,32,46,0.691,15.0,True,0.059
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,46,0.541,13.0,True,0.06
uniform,0.0031622776601683794,50,25.0,32,47,0.665,25.0,True,0.036000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,47,0.782,9.0,True,0.07100000000000001
uniform,0.0031622776601683794,50,25.0,32,48,0.365,,False,0.03
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,48,0.632,26.0,True,0.030000000000000027
uniform,0.0031622776601683794,50,25.0,32,49,0.737,13.0,True,0.051
uniform_min_1_over_k,0.0031622776601683794,50,25.0,32,49,0.764,17.0,True,0.045999999999999985
uniform,0.0031622776601683794,50,25.0,33,0,0.938,12.0,True,0.05400000000000005
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,0,0.659,17.0,True,0.038000000000000006
uniform,0.0031622776601683794,50,25.0,33,1,0.773,16.0,True,0.06
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,1,0.723,9.0,True,0.063
uniform,0.0031622776601683794,50,25.0,33,2,0.38,,False,0.057
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,2,0.907,21.0,True,0.046000000000000006
uniform,0.0031622776601683794,50,25.0,33,3,0.714,13.0,True,0.05300000000000002
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,3,0.49,,False,0.051
uniform,0.0031622776601683794,50,25.0,33,4,0.486,,False,0.055
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,4,0.74,13.0,True,0.043999999999999984
uniform,0.0031622776601683794,50,25.0,33,5,0.682,15.0,True,0.046
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,5,0.585,16.0,True,0.04300000000000001
uniform,0.0031622776601683794,50,25.0,33,6,0.441,,False,0.060000000000000005
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,6,0.489,,False,0.05099999999999999
uniform,0.0031622776601683794,50,25.0,33,7,0.714,14.0,True,0.056
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,7,0.834,12.0,True,0.04899999999999999
uniform,0.0031622776601683794,50,25.0,33,8,0.304,,False,0.04200000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,8,0.555,25.0,True,0.04200000000000001
uniform,0.0031622776601683794,50,25.0,33,9,0.523,20.0,True,0.048999999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,9,0.651,18.0,True,0.04400000000000001
uniform,0.0031622776601683794,50,25.0,33,10,0.715,23.0,True,0.034000000000000016
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,10,0.381,,False,0.040999999999999995
uniform,0.0031622776601683794,50,25.0,33,11,0.274,,False,0.036000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,11,0.463,,False,0.036000000000000004
uniform,0.0031622776601683794,50,25.0,33,12,0.875,9.0,True,0.07
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,12,0.696,16.0,True,0.044000000000000004
uniform,0.0031622776601683794,50,25.0,33,13,0.446,,False,0.051
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,13,0.774,11.0,True,0.045999999999999985
uniform,0.0031622776601683794,50,25.0,33,14,0.794,15.0,True,0.04300000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,14,0.834,10.0,True,0.05299999999999999
uniform,0.0031622776601683794,50,25.0,33,15,0.423,,False,0.04200000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,15,0.5,,False,0.03499999999999999
uniform,0.0031622776601683794,50,25.0,33,16,0.658,15.0,True,0.041
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,16,0.434,,False,0.032
uniform,0.0031622776601683794,50,25.0,33,17,0.697,7.0,True,0.07500000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,17,0.745,10.0,True,0.06
uniform,0.0031622776601683794,50,25.0,33,18,0.326,,False,0.044
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,18,0.84,11.0,True,0.061
uniform,0.0031622776601683794,50,25.0,33,19,0.753,18.0,True,0.03900000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,19,0.501,31.0,True,0.04999999999999999
uniform,0.0031622776601683794,50,25.0,33,20,0.694,16.0,True,0.04600000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,20,0.773,14.0,True,0.044
uniform,0.0031622776601683794,50,25.0,33,21,0.493,,False,0.04799999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,21,0.416,,False,0.031000000000000007
uniform,0.0031622776601683794,50,25.0,33,22,0.84,11.0,True,0.055999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,22,0.611,27.0,True,0.048
uniform,0.0031622776601683794,50,25.0,33,23,0.768,12.0,True,0.048999999999999995
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,23,0.54,25.0,True,0.04599999999999999
uniform,0.0031622776601683794,50,25.0,33,24,0.398,,False,0.04600000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,24,0.633,14.0,True,0.055999999999999994
uniform,0.0031622776601683794,50,25.0,33,25,0.653,12.0,True,0.051000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,25,0.949,18.0,True,0.052
uniform,0.0031622776601683794,50,25.0,33,26,0.765,12.0,True,0.06399999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,26,0.63,11.0,True,0.05900000000000001
uniform,0.0031622776601683794,50,25.0,33,27,0.86,12.0,True,0.05500000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,27,0.633,12.0,True,0.05
uniform,0.0031622776601683794,50,25.0,33,28,0.93,9.0,True,0.05500000000000005
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,28,0.293,,False,0.034
uniform,0.0031622776601683794,50,25.0,33,29,0.923,17.0,True,0.047000000000000014
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,29,0.554,13.0,True,0.056999999999999995
uniform,0.0031622776601683794,50,25.0,33,30,0.314,,False,0.035
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,30,0.723,16.0,True,0.03700000000000003
uniform,0.0031622776601683794,50,25.0,33,31,0.871,12.0,True,0.047999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,31,0.973,16.0,True,0.05700000000000001
uniform,0.0031622776601683794,50,25.0,33,32,0.521,37.0,True,0.036000000000000004
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,32,0.611,15.0,True,0.04299999999999998
uniform,0.0031622776601683794,50,25.0,33,33,0.611,11.0,True,0.055999999999999994
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,33,0.579,13.0,True,0.049000000000000016
uniform,0.0031622776601683794,50,25.0,33,34,0.41,,False,0.03899999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,34,0.318,,False,0.039999999999999994
uniform,0.0031622776601683794,50,25.0,33,35,0.747,12.0,True,0.047
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,35,0.721,12.0,True,0.05499999999999999
uniform,0.0031622776601683794,50,25.0,33,36,0.672,12.0,True,0.060000000000000005
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,36,0.714,18.0,True,0.04400000000000001
uniform,0.0031622776601683794,50,25.0,33,37,0.646,18.0,True,0.04100000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,37,0.352,,False,0.052
uniform,0.0031622776601683794,50,25.0,33,38,0.467,,False,0.045
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,38,0.218,,False,0.032
uniform,0.0031622776601683794,50,25.0,33,39,0.744,21.0,True,0.041999999999999996
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,39,0.723,14.0,True,0.048
uniform,0.0031622776601683794,50,25.0,33,40,0.505,21.0,True,0.049
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,40,0.382,,False,0.046
uniform,0.0031622776601683794,50,25.0,33,41,0.316,,False,0.04700000000000001
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,41,0.7,11.0,True,0.04899999999999999
uniform,0.0031622776601683794,50,25.0,33,42,0.849,22.0,True,0.037000000000000005
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,42,0.799,26.0,True,0.033
uniform,0.0031622776601683794,50,25.0,33,43,0.859,14.0,True,0.05199999999999999
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,43,0.899,8.0,True,0.068
uniform,0.0031622776601683794,50,25.0,33,44,0.923,12.0,True,0.06400000000000006
uniform_min_1_over_k,0.0031622776601683794,50,25.0,33,44,0.537,14.0,True,0.05600000000000001
uniform,0.0031622776601683794,50,25.0,33,45,0.417,,False,0.040999999999999995
