n,k_cap_mean,k_cap_sd,radius,simulation_rounds,population_density,replicate,network_density,network_is_connected,network_num_components,network_largest_component_size,network_avg_shortest_path,network_diameter,network_clustering_coef,network_modularity,network_assortativity
1000,50,25.0,0.1,100000,1e-05,0,0.042014014014014014,True,1,1000,2.3137557557557558,4,0.17220785841738784,0.38421597775189675,0.08268481033281393
1000,50,25.0,0.1,100000,1e-05,1,0.042394394394394394,True,1,1000,2.300808808808809,4,0.17047938769454457,0.4043549264968974,0.05669560742917483
1000,50,25.0,0.1,100000,1e-05,2,0.04202002002002002,True,1,1000,2.3083163163163163,4,0.17348480367571045,0.40662512155219366,0.04656732591928261
1000,50,25.0,0.1,100000,1e-05,3,0.04292892892892893,True,1,1000,2.2956896896896897,4,0.17214865567967658,0.3465934884977042,0.05830388692161634
1000,50,25.0,0.1,100000,1e-05,4,0.04206206206206206,True,1,1000,2.3025505505505506,4,0.1687958973186634,0.3718591099499094,0.07853896238454097
1000,50,25.0,0.1,100000,1e-05,5,0.0421001001001001,True,1,1000,2.3048148148148146,4,0.17325633785682643,0.3701223587169593,0.05376358499902852
1000,50,25.0,0.1,100000,1e-05,6,0.04241241241241241,True,1,1000,2.3044224224224226,4,0.17318623767508395,0.380090963938675,0.058754874460468884
1000,50,25.0,0.1,100000,1e-05,7,0.04114714714714715,True,1,1000,2.314886886886887,4,0.16772635451932286,0.37774773486910695,0.06011497557153166
1000,50,25.0,0.1,100000,1e-05,8,0.04021621621621622,True,1,1000,2.3316176176176175,4,0.1679760185172385,0.37217866858740695,0.053344173186004123
1000,50,25.0,0.1,100000,1e-05,9,0.042516516516516514,True,1,1000,2.299413413413413,4,0.17235521386333538,0.3610034411441397,0.05104198434998444
1000,50,25.0,0.1,100000,1e-05,10,0.04139139139139139,True,1,1000,2.319721721721722,4,0.1697860419868695,0.3821452881804983,0.05876062677206647
1000,50,25.0,0.1,100000,1e-05,11,0.04256856856856857,True,1,1000,2.2976056056056056,4,0.1751840859616363,0.3607203853848134,0.051583430748685176
1000,50,25.0,0.1,100000,1e-05,12,0.04126926926926927,True,1,1000,2.3207567567567566,4,0.16998673815933232,0.3497258273553569,0.06392579789565518
1000,50,25.0,0.1,100000,1e-05,13,0.041357357357357356,True,1,1000,2.3162122122122124,4,0.17280973981343115,0.360196007918061,0.050627835523910834
1000,50,25.0,0.1,100000,1e-05,14,0.04238238238238238,True,1,1000,2.3001161161161163,4,0.16683133846918383,0.37355577439666154,0.05967827815376408
1000,50,25.0,0.1,100000,1e-05,15,0.0422982982982983,True,1,1000,2.3023003003003004,4,0.17075035149917914,0.40267870363128777,0.06324894100400698
1000,50,25.0,0.1,100000,1e-05,16,0.0433973973973974,True,1,1000,2.296056056056056,4,0.17683686644484284,0.410021448764702,0.06168344717447341
1000,50,25.0,0.1,100000,1e-05,17,0.04107707707707708,True,1,1000,2.322044044044044,4,0.1702030921692321,0.36824948023974174,0.07168740412233085
1000,50,25.0,0.1,100000,1e-05,18,0.04173973973973974,True,1,1000,2.3086906906906908,4,0.17014541352573948,0.36784111497944905,0.059303007859433245
1000,50,25.0,0.1,100000,1e-05,19,0.04218018018018018,True,1,1000,2.3015535535535534,4,0.17233350931979122,0.39585444817722143,0.057955799175235946
1000,50,25.0,0.1,100000,1e-05,20,0.04342142142142142,True,1,1000,2.2888108108108107,4,0.1727848760384832,0.35618725540375007,0.0445243741807731
